from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,electric_tractor
"market group for electricity, low voltage","electricity, low voltage",World,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '8b3a76a94e834d84b4e64b3cc308205f')","harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0ff09484a0d148acb22ef6041bff3a3d')",technosphere,0.0,137.5614349067065
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')","harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0ff09484a0d148acb22ef6041bff3a3d')",biosphere,0.0005629999795928597,0.0
Benzene,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '5e883a00-04e6-4d96-8dce-12d7117c6635')","harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0ff09484a0d148acb22ef6041bff3a3d')",biosphere,0.00020500000391621143,0.0
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')","harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0ff09484a0d148acb22ef6041bff3a3d')",biosphere,26.324652858631694,0.0
"Carbon monoxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '099b36ab-4c03-4587-87f4-2f81e337afb8')","harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0ff09484a0d148acb22ef6041bff3a3d')",biosphere,0.32199999690055847,0.0
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')","harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0ff09484a0d148acb22ef6041bff3a3d')",biosphere,0.003379999892786145,0.0
"Methane, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')","harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0ff09484a0d148acb22ef6041bff3a3d')",biosphere,0.0036299999337643385,0.0
"NMVOC, non-methane volatile organic compounds",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '33b38ccb-593b-4b11-b965-10d747ba3556')","harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0ff09484a0d148acb22ef6041bff3a3d')",biosphere,0.17000000178813934,0.0
Nitrogen oxides,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')","harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0ff09484a0d148acb22ef6041bff3a3d')",biosphere,1.6200000047683716,0.0
"PAH, polycyclic aromatic hydrocarbons",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '13d898ac-b9be-4723-a153-565e2a9144ac')","harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0ff09484a0d148acb22ef6041bff3a3d')",biosphere,9.259999933419749e-05,0.0
"Particulate Matter, < 2.5 um",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '66f50b33-fd62-4fdd-a373-c5b0de7de00d')","harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0ff09484a0d148acb22ef6041bff3a3d')",biosphere,0.056699998676776886,0.0
Sulfur dioxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '78c3efe4-421c-4d30-82e4-b97ac5124993')","harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0ff09484a0d148acb22ef6041bff3a3d')",biosphere,0.0284000001847744,0.0
"market group for electricity, low voltage","electricity, low voltage",NEU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '8aa48d6e47e046f98d362e2a26434a07')","harvesting, by complete harvester, beets","harvesting, by complete harvester, beets",CH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '4e0fa634dad14af88807f345e8e58ad9')",technosphere,0.0,504.22875816993457
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')","harvesting, by complete harvester, beets","harvesting, by complete harvester, beets",CH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '4e0fa634dad14af88807f345e8e58ad9')",biosphere,0.0020699999295175076,0.0
Benzene,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '5e883a00-04e6-4d96-8dce-12d7117c6635')","harvesting, by complete harvester, beets","harvesting, by complete harvester, beets",CH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '4e0fa634dad14af88807f345e8e58ad9')",biosphere,0.000754999986384064,0.0
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')","harvesting, by complete harvester, beets","harvesting, by complete harvester, beets",CH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '4e0fa634dad14af88807f345e8e58ad9')",biosphere,91.64050000000003,0.0
"Carbon monoxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '099b36ab-4c03-4587-87f4-2f81e337afb8')","harvesting, by complete harvester, beets","harvesting, by complete harvester, beets",CH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '4e0fa634dad14af88807f345e8e58ad9')",biosphere,0.8640000224113464,0.0
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')","harvesting, by complete harvester, beets","harvesting, by complete harvester, beets",CH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '4e0fa634dad14af88807f345e8e58ad9')",biosphere,0.012400000356137753,0.0
"Methane, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')","harvesting, by complete harvester, beets","harvesting, by complete harvester, beets",CH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '4e0fa634dad14af88807f345e8e58ad9')",biosphere,0.013299999758601189,0.0
"NMVOC, non-methane volatile organic compounds",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '33b38ccb-593b-4b11-b965-10d747ba3556')","harvesting, by complete harvester, beets","harvesting, by complete harvester, beets",CH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '4e0fa634dad14af88807f345e8e58ad9')",biosphere,0.20200000703334808,0.0
Nitrogen oxides,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')","harvesting, by complete harvester, beets","harvesting, by complete harvester, beets",CH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '4e0fa634dad14af88807f345e8e58ad9')",biosphere,4.059999942779541,0.0
"PAH, polycyclic aromatic hydrocarbons",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '13d898ac-b9be-4723-a153-565e2a9144ac')","harvesting, by complete harvester, beets","harvesting, by complete harvester, beets",CH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '4e0fa634dad14af88807f345e8e58ad9')",biosphere,0.00033999999868683517,0.0
