from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,amount_baseline,potato | amount_biochar_amendment
market for [sulfonyl]urea-compound,[sulfonyl]urea-compound,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '603c9dc048b641e580fedf4368b42a86')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,4.2594763272063574e-08,3.3994224478901495e-08
market for [thio]carbamate-compound,[thio]carbamate-compound,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '2f82889fd15c407e8ec4b4200a067a5f')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,3.4501758818805683e-06,2.753532228156878e-06
"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",RER,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '86e6a91ac0ea44768f6d7688b1694aab')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,4.7823282329773065e-06,3.816702500380931e-06
"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'e7b8846079bc4f0ea55a9a42f8c2767a')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,2.3952172341523692e-05,1.911585980967573e-05
market for ammonium nitrate,ammonium nitrate,RER,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '5271cb723ee84da198361278f55ff770')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.0012910716468468308,0.0010303843949296336
market for ammonium nitrate,ammonium nitrate,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19d4dbd139b5492aadb578eeb4448094')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.002336293924599886,0.0018645601952114012
market for ammonium sulfate,ammonium sulfate,RER,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '9b53d4f14f664b1c9550d506ae702610')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,1.8808274035109207e-05,1.501059380296026e-05
market for ammonium sulfate,ammonium sulfate,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'ea0d0d8fe70f4ed4af248582a7001665')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,6.4386724261567e-05,5.138605288233599e-05
"market for application of plant protection product, by field sprayer","application of plant protection product, by field sprayer",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '22c7bdc87dc94a93b3785835ee5d8c51')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,9.080000018002465e-05,7.246608154830379e-05
market for benzimidazole-compound,benzimidazole-compound,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0eb391f9bc7c4c7bbdf8525dc3214332')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,1.3971082807984203e-05,1.1150105992006545e-05
market for bipyridylium-compound,bipyridylium-compound,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'bf657aea9788400fbdc1d5d2721d0bda')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,6.815162123530172e-06,5.439075916624239e-06
market for dithiocarbamate-compound,dithiocarbamate-compound,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '2bf9a875810a433dbd66db1d53a17e49')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,1.814536881283857e-05,1.4481539355816893e-05
"market for fertilising, by broadcaster","fertilising, by broadcaster",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'df2ecc54c49e4c5686d22fa98452cba5')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,4.5399501686915755e-05,3.6232643006317436e-05
"market for harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'fd3943e5982246299a7538e647b68c1e')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,4.999999873689376e-05,3.990422884029829e-05
"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '72bfce1565a44f3f8c99de38f95f1068')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.00047994949272833765,0.0003830402974687451
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '877c63b2f0c249e7a966d7ba0b6c6b0a')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.00030955555848777294,0.00024705152313469504
"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '2f571dd3975e4068bade6b8d2511d935')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.0012136499863117933,0.0009685953601849906
market for irrigation,irrigation,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '572ea4861d9c4b67bb72d336512ff0af')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.11993350088596344,0.09571707971744886
"market for liquid manure spreading, by vacuum tanker","liquid manure spreading, by vacuum tanker",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '5789fbf482ec4141a18f4428918b63d4')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.00011171500227646902,8.915802256701438e-05
"market for manure, liquid, cattle","manure, liquid, cattle",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'b15dd6a93ae64c76a0e6bc55c4aa4462')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.09462253004312515,0.07551678375349173
"market for manure, liquid, swine","manure, liquid, swine",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '42ffdf9ab209429a88c9c5edba61f8ca')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.014411243610084057,0.011501391548351201
"market for manure, solid, cattle","manure, solid, cattle",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'd2062523dee145ca9a3aa29841a42b69')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.07902833819389343,0.06307129943646722
market for nitrile-compound,nitrile-compound,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'c396ab8d1b524620b6c1b1f99c81052f')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,5.36694017228001e-07,4.283272284341588e-07
"market for packaging, for fertilisers","packaging, for fertilisers",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'bf63792ebabf4e50b81dacd7427f8e1f')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.008550375699996948,0.006823923144450876
"market for packaging, for pesticides","packaging, for pesticides",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '79ee10ef521d4c9388e91fdb4e5ad857')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,8.720000187167898e-05,6.959297834930484e-05
market for potassium chloride,potassium chloride,RER,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '5f876b538c7d448c90b3c0b8441025e3')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,9.214568854076788e-05,7.35400547013311e-05
market for potassium chloride,potassium chloride,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'e75418d9c9224603be7fd40179b3a874')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.0011110937921330333,0.0008867468412873369
market for potassium sulfate,potassium sulfate,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '7c0d963c73f546b88af837ba4159ccc7')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.0001230249326908961,9.818430382354038e-05
market for potassium sulfate,potassium sulfate,RER,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'a175447e8a2b46abb87a5bf9a54f56f5')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,2.5915664082276635e-05,2.0682892324243124e-05
market for potato grading,potato grading,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'edfa86844cf04d8e869236b7e22bf641')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,1.0,1.0
market for potato haulm cutting,potato haulm cutting,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '10d1cefa5c4347138a49330e0104518a')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,4.999999873689376e-05,3.990422884029829e-05
market for potato planting,potato planting,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0b84f813bc41414a887bce6d49875210')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,4.999999873689376e-05,3.990422884029829e-05
"market for potato seed, Swiss integrated production, for setting","potato seed, Swiss integrated production, for setting",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'a9ebd3b5d50042569ba5c89f7e8d763f')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.125,0.09976057462090981
"market for poultry manure, dried","poultry manure, dried",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '79289c34b7b349a49bff00b5bfad8905')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.015056665055453777,0.012016492462453133
"market for poultry manure, fresh","poultry manure, fresh",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '88e5d6a1838846c3908bb04ad9ee1db9')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.0013406124198809266,0.0010699221228099973
"market for solid manure loading and spreading, by hydraulic loader and spreader","solid manure loading and spreading, by hydraulic loader and spreader",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '28f13d5e6eef4a22bb68d7ce0efceb82')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.09408500045537949,0.07508778966909775
"market for tillage, cultivating, chiselling","tillage, cultivating, chiselling",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '117b27a8b1ac4859848fe8866fd51118')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,3.0555998819181696e-05,2.438627200253926e-05
"market for tillage, ploughing","tillage, ploughing",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '2c5ce8314a7d44aa8afd1c9997a3ad5c')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,3.0555998819181696e-05,2.438627200253926e-05
"market for transport, freight, tractor and trailer, diesel, agricultural","transport, freight, tractor and trailer, diesel, agricultural",RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '42705b27632f4261baf3e69b504fa2f9')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,0.0020000000949949026,0.0015961692697485255
market for triazine-compound,triazine-compound,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '86432db3c00641a7829cf28071fcb57c')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,6.389214490809536e-07,5.099133671835224e-07
market for urea,urea,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '261bf932fc794a58979780ba670a30f9')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,8.863036782713607e-05,7.073453138638153e-05
market for urea,urea,RER,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'db98f76542e24006a82fa7258be8871e')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",technosphere,1.3895752090320457e-05,1.1089985706560618e-05
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,0.0005023999838158488,0.00040095768860003893
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,0.00011262499901931733,9.410883796745828e-05
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,8.641119347885251e-05,5.586038844203554e-05
Nitrogen oxides,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,9.354999929200858e-05,7.466081348125185e-05
Water,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '09872080-d143-4fb1-a3a5-647b077107ff')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,0.05699000135064125,0.045482842259091175
Cadmium II,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'e429b852-e421-4fcb-8a9b-b0241863bfb2')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,2.5139499371107377e-08,2.006344722354938e-08
Chlorothalonil,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '06b8a67f-5044-4060-be71-04e1dfc31e24')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,1.3971082807984203e-05,1.1150105992006545e-05
Chromium III,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'e7881581-21b3-4f5c-bd63-6b0684b5e712')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,-4.635699895061407e-07,-3.699680682411338e-07
Copper ion,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '7e66a41c-d311-4949-bdd8-eef09cdcfa47')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,-4.0699998749005317e-07,-3.2482042098168647e-07
Diquat,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '063a0cee-aa71-4ea6-85ca-045c74ca1a66')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,6.815162123530172e-06,5.439075916624239e-06
Fenpiclonil,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'd317b7de-adc0-478c-8c7f-9d6d0f476e97')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,5.36694017228001e-07,4.283272284341588e-07
Lead II,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '4010918f-7fd0-4925-8fbb-8fd7a44a806c')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,9.465000339048402e-09,7.553870980884597e-09
Mancozeb,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '4f6390e3-bca5-4d3b-aead-7d63f2534440')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,1.814536881283857e-05,1.4481539355816893e-05
Mercury II,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'ed2d49f8-110d-4db4-9488-f61c349e6117')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,-4.342000092805165e-09,-3.4652833940982956e-09
Metribuzin,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '171aebab-b5e0-493f-8776-43e1a694666f')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,6.389214490809536e-07,5.099133671835224e-07
Nickel II,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'b4580545-243d-48d2-a3a0-2633a4f46fb1')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,1.3922000619004393e-07,1.1110934252996323e-07
Orbencarb,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '365010c0-d4dd-4281-a1a7-7e2302c4105f')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,3.4501758818805683e-06,2.753532228156878e-06
Teflubenzuron,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'ad419049-3445-481f-97a3-3d4529ee924f')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,4.2594763272063574e-08,3.3994224478901495e-08
Zinc II,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '84aa799e-9d98-4d34-85e0-516d28ab1be9')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,2.527000106056221e-06,2.016759861178149e-06
Cadmium II,,,"('water', 'ground-')",biosphere3,"('biosphere3', '3937f5a5-b4a4-434d-9fc3-1d29064fc3f8')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,1.1070500072207778e-09,8.835195588354172e-10
Cadmium II,,,"('water', 'surface water')",biosphere3,"('biosphere3', 'af83b42f-a4e6-4457-be74-46a87798f82a')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,1.155149975673453e-09,9.219074027721092e-10
Chromium III,,,"('water', 'ground-')",biosphere3,"('biosphere3', '1c87de06-e58f-4684-a54c-d29f1a251a87')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,6.701000074826879e-07,5.347964943995913e-07
Chromium III,,,"('water', 'surface water')",biosphere3,"('biosphere3', 'e34d3da4-a3d5-41be-84b5-458afe32c990')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,1.841700054683315e-07,1.4698324458765483e-07
Copper ion,,,"('water', 'ground-')",biosphere3,"('biosphere3', 'c3b659e5-35f1-408c-8cb5-b5f9b295c76e')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,1.4811999449193536e-07,1.1821228610689174e-07
Copper ion,,,"('water', 'surface water')",biosphere3,"('biosphere3', '6d9550e2-e670-44c1-bad8-c0c4975ffca7')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,1.7096000703986647e-07,1.3644054831593492e-07
Lead II,,,"('water', 'ground-')",biosphere3,"('biosphere3', 'c864aa15-0abc-41ad-9889-348106e485d8')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,3.3798499554649197e-09,2.6974061895170943e-09
Lead II,,,"('water', 'surface water')",biosphere3,"('biosphere3', 'b3ebdcc3-c588-4997-95d2-9785b26b34e1')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,2.3284000505441327e-08,1.858260215917105e-08
Mercury II,,,"('water', 'ground-')",biosphere3,"('biosphere3', 'e1aa92d7-9297-452e-ade0-e5e2acc52ad7')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,3.0789499838590473e-09,2.457262556950556e-09
Mercury II,,,"('water', 'surface water')",biosphere3,"('biosphere3', '66bfb434-78ab-4183-b1a7-7f87d08974fa')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,5.01799990448859e-10,4.0047884313556186e-10
Nickel II,,,"('water', 'ground-')",biosphere3,"('biosphere3', '56815b4f-6138-4e0b-9fac-c94fd6b102b3')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,2.371050022986765e-09,1.8922985019846484e-09
Nickel II,,,"('water', 'surface water')",biosphere3,"('biosphere3', '9798359e-a3ee-4362-a038-23a188582c6e')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,1.1691499679500339e-07,9.330805809657093e-08
Nitrate,,,"('water', 'ground-')",biosphere3,"('biosphere3', 'b9291c72-4b1d-4275-8068-4c707dc3ce33')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '19bafc7f7d1e4431a88f650c41db2f40')",biosphere,0.014742942526936531,0.01176611534472189
