from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,nop_supplementation,increase_feed_level,nitrate_supplementation
alfalfa/grass silage production,alfalfa-grass silage,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'fc2c6521eee943648167bb020d2d9643')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4b0e58abb20843f78327a156aaf4bec2')",technosphere,0.0574413537979126,0.0574413537979126,0.0778507389230271,0.05520569873987366
"market for barley grain, feed","barley grain, feed",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'a1b3987db4634f91936a17efb8c0180f')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4b0e58abb20843f78327a156aaf4bec2')",technosphere,0.019741682335734367,0.019741682335734367,0.026756064330023546,0.018973323147624732
"market for diesel, burned in agricultural machinery","diesel, burned in agricultural machinery",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'b34a5be33bac4084941c2a737d888650')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4b0e58abb20843f78327a156aaf4bec2')",technosphere,0.35512426495552063,0.35512426495552063,0.30404474739342524,0.3562285735334744
"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'cd1aa8577d8f45f4b0ca12f15231ccdb')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4b0e58abb20843f78327a156aaf4bec2')",technosphere,0.007360757794231176,0.007360757794231176,0.006302018659444501,0.007383647100241926
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'ff993e697e984eb4b8905ae41070f85b')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4b0e58abb20843f78327a156aaf4bec2')",technosphere,0.0024535858538001776,0.0024535858538001776,0.002100672820034399,0.002461215622229088
"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '777a2a5af6fa449895793960e07a33a0')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4b0e58abb20843f78327a156aaf4bec2')",technosphere,0.0010169468587264419,0.0010169468587264419,0.0008706736804164742,0.0010201091972378792
"market for limestone, crushed, washed","limestone, crushed, washed",RoW,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'e648457251114ec98502f0d7532d66dc')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4b0e58abb20843f78327a156aaf4bec2')",technosphere,0.003979006316512823,0.003979006316512823,0.0034066834901650884,0.003991379593251904
market for magnesium oxide,magnesium oxide,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'd4f5cad653fc48faa4eb71b160b74292')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4b0e58abb20843f78327a156aaf4bec2')",technosphere,0.000443905359134078,0.000443905359134078,0.0003800559581627381,0.00044528574494340255
"market for maize grain, feed","maize grain, feed",ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'c761e069386f48459a1595bd1824ac21')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4b0e58abb20843f78327a156aaf4bec2')",technosphere,0.27154093980789185,0.27154093980789185,0.36802166756497673,0.26097238883533064
"manure, liquid, cattle, Recycled Content cut-off","manure, liquid, cattle",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '152917e9681b4096a637ecb9d8b302a4')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4b0e58abb20843f78327a156aaf4bec2')",technosphere,-0.1388213038444519,-0.1388213038444519,-0.11885385603120883,-0.1392529881075854
"manure, solid, cattle, Recycled Content cut-off","manure, solid, cattle",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '1e7622987eb34da3bb7dc24819a61602')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4b0e58abb20843f78327a156aaf4bec2')",technosphere,-1.251006007194519,-1.251006007194519,-1.0710667869816088,-1.2548961853691634
"market for operation, housing system, cattle, loose, per animal unit","operation, housing system, cattle, loose, per animal unit",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'b988e3edd1aa404ab2a37bc271a5aeec')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4b0e58abb20843f78327a156aaf4bec2')",technosphere,1.1702959454851225e-05,1.1702959454851225e-05,1.001965706750961e-05,1.1739351444328643e-05
"market for operation, housing system, cattle, tied, per animal unit","operation, housing system, cattle, tied, per animal unit",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '7bcbf7a0e6d34e98a744077cc7af2df1')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4b0e58abb20843f78327a156aaf4bec2')",technosphere,0.00011548883776413277,0.00011548883776413277,9.887742959257943e-05,0.00011584796646015926
