from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,double_inhibitors,nitrification_inhibitors,urease_inhibitors
market for [sulfonyl]urea-compound,[sulfonyl]urea-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '6d3e2170db9d4cf4aefd3a72b55509d0')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,9.551021321385633e-06,9.104882098556372e-06,8.459717733733954e-06,8.993428739534494e-06
market for [thio]carbamate-compound,[thio]carbamate-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'd9719c09ca0949ff973775ba0f8c92b0')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.0410228646360338e-05,2.8989731788713383e-05,2.6935543530877182e-05,2.8634866898644385e-05
"market for acetamide-anillide-compound, unspecified","acetamide-anillide-compound, unspecified",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'eb4e70d1e203481aa2a0f7bd0763b5f3')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.7441161566675873e-06,3.569224172228396e-06,3.316311919103266e-06,3.5255331042067677e-06
market for aclonifen,aclonifen,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '553e175a446d454194f6e466ac5d0896')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,1.8899230781244114e-05,1.801642591157685e-05,1.6739796971872554e-05,1.7795885858045303e-05
"market for application of plant protection product, by field sprayer","application of plant protection product, by field sprayer",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'ff595daaff4d469392865f5d461931b6')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,0.00021498111891560256,0.0002049391028747403,0.00019041728867635302,0.00020243043212391954
market for benzimidazole-compound,benzimidazole-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '8e6d181af2a24a27932b92bec7cf636f')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.850660959869856e-06,3.67079214477584e-06,3.4106828696810063e-06,3.6258577776552316e-06
"market for chemical, inorganic","chemical, inorganic",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '79b6526a68414a2aa5f422df6c612305')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,1.999829919441254e-07,1.906415557141329e-07,1.7713285380347687e-07,1.8830790201895044e-07
market for chlorothalonil,chlorothalonil,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'aedc5ffa33be47b6a763480d7ea6fc85')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.005749749718234e-05,2.865347711838164e-05,2.6623115586521114e-05,2.8302728340096362e-05
market for copper oxide,copper oxide,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'c981190b60194b77a2e41764236fa1bc')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,2.2523752818415232e-07,2.1471642343579821e-07,1.9950179644300473e-07,2.120880679700116e-07
market for cyclic N-compound,cyclic N-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '1649cd7cf4c34a3eb8823ce0cea13ee5')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,2.1536348867812194e-05,2.053036117045967e-05,1.907559687140141e-05,2.0279047898128243e-05
market for diazine-compound,diazine-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '7fa2c4a421b24688b9bae8256445c102')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,1.8019001846170113e-09,1.717731348538619e-09,1.5960143353560774e-09,1.6967045052890877e-09
market for diazole-compound,diazole-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '40e13201bd244d069bc2c727a755d5d1')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,4.282215826378888e-08,4.082188585680542e-08,3.7929281013099095e-08,4.03221829225884e-08
market for dinitroaniline-compound,dinitroaniline-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'd98025fd39294c2583a6a48b3c3c52b1')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,1.2540261195681524e-05,1.1954491130296973e-05,1.1107405842056265e-05,1.1808155551489193e-05
market for diphenylether-compound,diphenylether-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '0d496510a89e41a8a756b00adea6eff7')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.268196380190602e-08,3.115535157474359e-08,2.894770930195396e-08,3.077397721460077e-08
"market for fertilising, by broadcaster","fertilising, by broadcaster",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '3acc017c67274e0790d8b4ca1ff54c8d')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,6.142317579360679e-05,5.855402840191305e-05,5.440493870115747e-05,5.783726534237927e-05
market for glyphosate,glyphosate,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'dc254f8ebec04b5a8904efdc5b567191')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,4.865130520670391e-08,4.637874662221536e-08,4.309238725128778e-08,4.581102185188692e-08
"market for grass seed, Swiss integrated production, for sowing","grass seed, Swiss integrated production, for sowing",CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'de2ffb7afd884d3c99b29fa332dac424')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,0.0009213476441800594,0.000878310432964785,0.0008160740869619658,0.0008675589869868732
"market for harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '84f746caf9a14815967a6af4288a72b2')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.0711587896803394e-05,2.9277014200956526e-05,2.7202469350578735e-05,2.8918632671189635e-05
market for hoeing,hoeing,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'b6800284eb3145af837a0aa274869742')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,6.142317579360679e-05,5.855402840191305e-05,5.440493870115747e-05,5.783726534237927e-05
"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '9ac7554585f94ebbb5f438e86fdd6b83')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,0.0021597330924123526,0.002058849468457915,0.001912961109311207,0.002033646979672648
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '7c54c1740a924d1ab584301a687058db')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,0.0013688449980691075,0.0013049046692746498,0.0012124402108672342,0.0012889312599520786
"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '742cfbb88ec24cdfa3ce124ce57d46cf')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,0.008547883480787277,0.008148601983591304,0.007571198831521061,0.008048854501682934
market for irrigation,irrigation,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5feddd67da504792bf1bb692506fe88c')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,0.01228463463485241,0.011710805180984185,0.010880987276220026,0.011567452575190592
"market for liquid manure spreading, by vacuum tanker","liquid manure spreading, by vacuum tanker",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '300f99cff7d64deeb8df0d7377ceb7d6')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,0.000165049554198049,0.0001573398991401802,0.0001461909248875545,0.00015541389284185405
market for mancozeb,mancozeb,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'a3aff51c054d4b27b70f2fe4f7f96185')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,0.00012397793761920184,0.0001181867851469989,0.00010981216795323458,0.00011674005425536895
market for metaldehyde,metaldehyde,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'e2390912519f4ec084435db5f004e02d')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,4.614249519363511e-06,4.398712601871794e-06,4.087023489250231e-06,4.344867720681272e-06
market for nitrile-compound,nitrile-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5d1fbef26017425cb349c9d68d8ddc21')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,1.7944763897048688e-07,1.710654327650018e-07,1.5894387862753487e-07,1.689714114599688e-07
"market for organophosphorus-compound, unspecified","organophosphorus-compound, unspecified",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '621f3dac54194c4daa3d4e2367459a32')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,7.74817124238325e-07,7.386245226294805e-07,6.862862039312002e-07,7.295829795087806e-07
market for pendimethalin,pendimethalin,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '6475b296c1ec41b28777fd3bdeccf85b')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,9.730261041340782e-08,9.275749324443072e-08,8.618477450257557e-08,9.162204370377384e-08
"market for pesticide, unspecified","pesticide, unspecified",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'e1fdf4fe831349268e76950855250f9c')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,7.198073490144452e-06,6.861843174589564e-06,6.375618680375954e-06,6.777846977537149e-06
market for phenoxy-compound,phenoxy-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'dd029622b3024a809d7434551645cd6a')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.1172874059848255e-07,2.971675315524143e-07,2.761104876868756e-07,2.935298875691926e-07
market for potato haulm cutting,potato haulm cutting,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '1b3b7f3d25b349a2b943bb8c87f0273f')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.0711587896803394e-05,2.9277014200956526e-05,2.7202469350578735e-05,2.8918632671189635e-05
market for potato planting,potato planting,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '2e202876476944af86ebbb2dc0fa61d5')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.0711587896803394e-05,2.9277014200956526e-05,2.7202469350578735e-05,2.8918632671189635e-05
"market for potato seed, Swiss integrated production, for setting","potato seed, Swiss integrated production, for setting",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '213494e5e2164f2ebb1608535726a8ce')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,0.09582015126943588,0.09134428147705995,0.08487170174440734,0.0902261311388285
market for prosulfocarb,prosulfocarb,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'c8579246e4804299a832f358655f5ed7')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,4.75052984256763e-05,4.5286271139824886e-05,4.207732367198964e-05,4.473191942154077e-05
market for pyrethroid-compound,pyrethroid-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '3569743270c4408fbe1d06aac0508b5a')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,6.80648895468039e-07,6.488550004461764e-07,6.028776753481302e-07,6.409123309491892e-07
market for pyridine-compound,pyridine-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '48d2717cf0b3467ea56c85bc380882c0')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,6.744577149220277e-06,6.429530170848691e-06,5.97393901613842e-06,6.350825940885382e-06
"market for sodium silicate, without water, in 48% solution state","sodium silicate, without water, in 48% solution state",RER,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'bfa7c903fb30471697f57bb931cff8c1')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,2.1397565888037207e-06,2.03980609037533e-06,1.8952671291441281e-06,2.014836712621206e-06
"market for solid manure loading and spreading, by hydraulic loader and spreader","solid manure loading and spreading, by hydraulic loader and spreader",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '528b0c6b427547adae434df5d778869c')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,0.0571184940636158,0.05445042332089209,0.05059211165953569,0.05378389271526911
market for sowing,sowing,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '626fb2cd19764876ae67c406ef238ad5')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.0711587896803394e-05,2.9277014200956526e-05,2.7202469350578735e-05,2.8918632671189635e-05
"market for tillage, cultivating, chiselling","tillage, cultivating, chiselling",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '91b4ea25de2d4ed7bb7ef7c871ec2d61')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.0711587896803394e-05,2.9277014200956526e-05,2.7202469350578735e-05,2.8918632671189635e-05
"market for tillage, harrowing, by rotary harrow","tillage, harrowing, by rotary harrow",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '6c9bedc3b5d94a0e8eb8d6a09d88c388')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,6.142317579360679e-05,5.855402840191305e-05,5.440493870115747e-05,5.783726534237927e-05
"market for tillage, ploughing","tillage, ploughing",GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '95dea3b4d06b4ce5b334e5ea5aa0e3d6')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,3.0711587896803394e-05,2.9277014200956526e-05,2.7202469350578735e-05,2.8918632671189635e-05
"market for transport, freight, tractor and trailer, diesel, agricultural","transport, freight, tractor and trailer, diesel, agricultural",CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'ab610a3d2f1f4b8d824bdd7c02da9b0b')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,0.0020000291988253593,0.001906605527955538,0.0017715050476752518,0.0018832666655606018
market for triazine-compound,triazine-compound,GLO,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '732053480c644978974ce87277335e03')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",technosphere,8.322076610056683e-06,7.933342812256133e-06,7.3711927458429436e-06,7.836230329620229e-06
Acetamiprid,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '07848a8e-1143-5eab-aa66-dddf41a639e7')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,1.7118052531017725e-09,1.631844855197114e-09,1.5162136874240677e-09,1.6118693532031754e-09
Aclonifen,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '7b58789b-0164-5c36-a052-c4ed278ddb01')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,1.8899230553870439e-06,1.801642569482406e-06,1.6739796770478689e-06,1.7795885643945798e-06
Alpha-cypermethrin,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'ee9a1e0c-b267-5c06-b002-bd1bda6df6d9')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,1.351425156677355e-12,1.288298528767736e-12,1.1970107676504474e-12,1.2725283961180367e-12
Ametoctradin,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'f6efb4ff-d91b-5ca7-841f-f22f5b59ed8b')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,1.8019002956393138e-10,1.7177314543749416e-10,1.5960144336929262e-10,1.696704609829862e-10
Amisulbrom,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'd85499d7-09f2-5f3d-9d92-cb8990bca39e')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,5.585890860970721e-09,5.324967455644158e-09,4.947644695279647e-09,5.2597842382021855e-09
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,0.0002794858010020107,0.0002664306968560636,0.0002475516395057668,0.0002631693041450195
Azoxystrobin,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0b5b83a4-ef85-4db6-a739-79f8e00d5dac')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,1.80153989504106e-07,1.717387888504347e-07,1.5956952126138706e-07,1.696365249567853e-07
Benalaxyl-M,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '9e5974ca-3a85-5be7-875a-0ce3f296cdd9')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,2.3604892263051624e-08,2.250228051768506e-08,2.0907787655493026e-08,2.2226828872929966e-08
Benthiavalicarb,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '7f145d32-3ea5-5274-9938-be6a28433aa1')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,9.41589739511528e-09,8.976069966744786e-09,8.340033122334172e-09,8.866193404063351e-09
Bifenthrin,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '59c9fd90-b56e-5834-96bc-83c3434b96e1')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,1.0811401079946492e-10,1.0306388064772633e-10,9.576085987552252e-11,1.0180227005599333e-10
Boscalid,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'f8f3e2b7-4b38-5bc4-99b7-cf87225cb536')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,1.1848138825598653e-07,1.1294698594469641e-07,1.0494365655977549e-07,1.1156439572126791e-07
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,6.205248791957274e-05,5.9153944632576494e-05,5.0070696629522385e-05,5.842983796569938e-05
Carfentrazone-ethyl,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '9f1f46bb-5629-4fd5-bed0-06f58800017a')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,2.6578028666790487e-08,2.5336538290553373e-08,2.3541212282365355e-08,2.502639234161063e-08
Chlorantraniliprole,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '4ec33bdf-19dc-5e2b-8cbf-4429a833b91c')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,1.1038440383970283e-08,1.052282210102029e-08,9.777183688193341e-09,1.0394011660988967e-08
Chlorothalonil,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '9e4fda2d-a8ce-5b65-bf26-01805e3bdf0b')","potato production, conventional, mountain region",potato,CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'f11c99ab2fb84ced810c60c1deaaa87e')",biosphere,3.005749704243499e-06,2.8653476684876064e-06,2.662311518373338e-06,2.8302727911897353e-06
