from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,electric_tractor
"market group for electricity, low voltage","electricity, low voltage",LAM,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '4140c84b11524bd58ae92ec7d6561e91')","fertilising, by stool splitter, sugarcane","fertilising, by stool splitter, sugarcane",BR,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5cb25101a8454ae7b5ba8e5147c1d606')",technosphere,0.0,59.321119626363114
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')","fertilising, by stool splitter, sugarcane","fertilising, by stool splitter, sugarcane",BR,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5cb25101a8454ae7b5ba8e5147c1d606')",biosphere,0.00024199999461416155,0.0
Benzene,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '5e883a00-04e6-4d96-8dce-12d7117c6635')","fertilising, by stool splitter, sugarcane","fertilising, by stool splitter, sugarcane",BR,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5cb25101a8454ae7b5ba8e5147c1d606')",biosphere,8.849999721860513e-05,0.0
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')","fertilising, by stool splitter, sugarcane","fertilising, by stool splitter, sugarcane",BR,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5cb25101a8454ae7b5ba8e5147c1d606')",biosphere,33.219521757125854,0.0
"Carbon monoxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '099b36ab-4c03-4587-87f4-2f81e337afb8')","fertilising, by stool splitter, sugarcane","fertilising, by stool splitter, sugarcane",BR,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5cb25101a8454ae7b5ba8e5147c1d606')",biosphere,0.06539999693632126,0.0
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')","fertilising, by stool splitter, sugarcane","fertilising, by stool splitter, sugarcane",BR,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5cb25101a8454ae7b5ba8e5147c1d606')",biosphere,0.001449999981559813,0.0
"Methane, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')","fertilising, by stool splitter, sugarcane","fertilising, by stool splitter, sugarcane",BR,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5cb25101a8454ae7b5ba8e5147c1d606')",biosphere,0.001560000004246831,0.0
"NMVOC, non-methane volatile organic compounds",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '33b38ccb-593b-4b11-b965-10d747ba3556')","fertilising, by stool splitter, sugarcane","fertilising, by stool splitter, sugarcane",BR,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5cb25101a8454ae7b5ba8e5147c1d606')",biosphere,0.036400001496076584,0.0
Nitrogen oxides,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')","fertilising, by stool splitter, sugarcane","fertilising, by stool splitter, sugarcane",BR,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5cb25101a8454ae7b5ba8e5147c1d606')",biosphere,0.5149999856948853,0.0
"PAH, polycyclic aromatic hydrocarbons",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '13d898ac-b9be-4723-a153-565e2a9144ac')","fertilising, by stool splitter, sugarcane","fertilising, by stool splitter, sugarcane",BR,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5cb25101a8454ae7b5ba8e5147c1d606')",biosphere,3.989999822806567e-05,0.0
"Particulate Matter, < 2.5 um",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '66f50b33-fd62-4fdd-a373-c5b0de7de00d')","fertilising, by stool splitter, sugarcane","fertilising, by stool splitter, sugarcane",BR,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5cb25101a8454ae7b5ba8e5147c1d606')",biosphere,0.20000000298023224,0.0
Sulfur dioxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '78c3efe4-421c-4d30-82e4-b97ac5124993')","fertilising, by stool splitter, sugarcane","fertilising, by stool splitter, sugarcane",BR,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '5cb25101a8454ae7b5ba8e5147c1d606')",biosphere,0.012199999764561653,0.0
"market group for electricity, low voltage","electricity, low voltage",NEU,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', '57def1e7e77f42aeade76608dd8ab7f3')","chopping, maize","chopping, maize",CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'c57a1e6fca0b44a4a4fc993ae8bffd08')",technosphere,0.0,258.47842763763623
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')","chopping, maize","chopping, maize",CH,,remind - SSP1-PkBudg650 - 2035,"('remind - SSP1-PkBudg650 - 2035', 'c57a1e6fca0b44a4a4fc993ae8bffd08')",biosphere,0.0010600000387057662,0.0
