from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,electric_tractor
"market group for electricity, low voltage","electricity, low voltage",USA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'ed9ae13e3ac04cd2bd728f49962ac4f8')","planting, by no till drill","planting, by no till drill",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'd90e2638519b4c31875d4434cf537ba7')",technosphere,0.0,25.185457388559975
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')","planting, by no till drill","planting, by no till drill",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'd90e2638519b4c31875d4434cf537ba7')",biosphere,0.00010289385681971908,0.0
Benzene,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '5e883a00-04e6-4d96-8dce-12d7117c6635')","planting, by no till drill","planting, by no till drill",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'd90e2638519b4c31875d4434cf537ba7')",biosphere,3.757511149160564e-05,0.0
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')","planting, by no till drill","planting, by no till drill",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'd90e2638519b4c31875d4434cf537ba7')",biosphere,6.141133516073227,0.0
"Carbon monoxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '099b36ab-4c03-4587-87f4-2f81e337afb8')","planting, by no till drill","planting, by no till drill",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'd90e2638519b4c31875d4434cf537ba7')",biosphere,0.019258927553892136,0.0
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')","planting, by no till drill","planting, by no till drill",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'd90e2638519b4c31875d4434cf537ba7')",biosphere,0.0006181711796671152,0.0
"Methane, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')","planting, by no till drill","planting, by no till drill",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'd90e2638519b4c31875d4434cf537ba7')",biosphere,0.0006639616331085563,0.0
"NMVOC, non-methane volatile organic compounds",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '33b38ccb-593b-4b11-b965-10d747ba3556')","planting, by no till drill","planting, by no till drill",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'd90e2638519b4c31875d4434cf537ba7')",biosphere,0.01683472841978073,0.0
Nitrogen oxides,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')","planting, by no till drill","planting, by no till drill",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'd90e2638519b4c31875d4434cf537ba7')",biosphere,0.2289522886276245,0.0
"PAH, polycyclic aromatic hydrocarbons",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '13d898ac-b9be-4723-a153-565e2a9144ac')","planting, by no till drill","planting, by no till drill",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'd90e2638519b4c31875d4434cf537ba7')",biosphere,1.6969404896371998e-05,0.0
"Particulate Matter, < 2.5 um",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '66f50b33-fd62-4fdd-a373-c5b0de7de00d')","planting, by no till drill","planting, by no till drill",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'd90e2638519b4c31875d4434cf537ba7')",biosphere,0.017238760367035866,0.0
Sulfur dioxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '78c3efe4-421c-4d30-82e4-b97ac5124993')","planting, by no till drill","planting, by no till drill",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'd90e2638519b4c31875d4434cf537ba7')",biosphere,0.005144692957401276,0.0
"market group for electricity, low voltage","electricity, low voltage",USA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'ed9ae13e3ac04cd2bd728f49962ac4f8')","planting, potato","planting, potato",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '16d363c1789d4c12933255683d87aa6d')",technosphere,0.0,43.50221415127024
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')","planting, potato","planting, potato",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '16d363c1789d4c12933255683d87aa6d')",biosphere,0.0001777260040398687,0.0
Benzene,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '5e883a00-04e6-4d96-8dce-12d7117c6635')","planting, potato","planting, potato",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '16d363c1789d4c12933255683d87aa6d')",biosphere,6.489994120784104e-05,0.0
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')","planting, potato","planting, potato",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '16d363c1789d4c12933255683d87aa6d')",biosphere,10.582334459781649,0.0
"Carbon monoxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '099b36ab-4c03-4587-87f4-2f81e337afb8')","planting, potato","planting, potato",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '16d363c1789d4c12933255683d87aa6d')",biosphere,0.052918415516614914,0.0
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')","planting, potato","planting, potato",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '16d363c1789d4c12933255683d87aa6d')",biosphere,0.0010683529544621706,0.0
"Methane, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')","planting, potato","planting, potato",US,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '16d363c1789d4c12933255683d87aa6d')",biosphere,0.0011482298141345382,0.0
