from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,electric_tractor
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')","tillage, harrowing, by spring tine harrow","tillage, harrowing, by spring tine harrow",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '491b724bc87348c4b21b0b9410699ea6')",biosphere,8.86999987415038e-05,0.0
Benzene,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '5e883a00-04e6-4d96-8dce-12d7117c6635')","tillage, harrowing, by spring tine harrow","tillage, harrowing, by spring tine harrow",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '491b724bc87348c4b21b0b9410699ea6')",biosphere,3.239999932702631e-05,0.0
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')","tillage, harrowing, by spring tine harrow","tillage, harrowing, by spring tine harrow",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '491b724bc87348c4b21b0b9410699ea6')",biosphere,13.240560201009735,0.0
"Carbon monoxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '099b36ab-4c03-4587-87f4-2f81e337afb8')","tillage, harrowing, by spring tine harrow","tillage, harrowing, by spring tine harrow",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '491b724bc87348c4b21b0b9410699ea6')",biosphere,0.026399999856948853,0.0
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')","tillage, harrowing, by spring tine harrow","tillage, harrowing, by spring tine harrow",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '491b724bc87348c4b21b0b9410699ea6')",biosphere,0.0005319999763742089,0.0
"Methane, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')","tillage, harrowing, by spring tine harrow","tillage, harrowing, by spring tine harrow",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '491b724bc87348c4b21b0b9410699ea6')",biosphere,0.0005719999899156392,0.0
"NMVOC, non-methane volatile organic compounds",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '33b38ccb-593b-4b11-b965-10d747ba3556')","tillage, harrowing, by spring tine harrow","tillage, harrowing, by spring tine harrow",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '491b724bc87348c4b21b0b9410699ea6')",biosphere,0.01140000019222498,0.0
Nitrogen oxides,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')","tillage, harrowing, by spring tine harrow","tillage, harrowing, by spring tine harrow",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '491b724bc87348c4b21b0b9410699ea6')",biosphere,0.1979999989271164,0.0
"PAH, polycyclic aromatic hydrocarbons",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '13d898ac-b9be-4723-a153-565e2a9144ac')","tillage, harrowing, by spring tine harrow","tillage, harrowing, by spring tine harrow",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '491b724bc87348c4b21b0b9410699ea6')",biosphere,1.4600000213249587e-05,0.0
"Particulate Matter, < 2.5 um",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '66f50b33-fd62-4fdd-a373-c5b0de7de00d')","tillage, harrowing, by spring tine harrow","tillage, harrowing, by spring tine harrow",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '491b724bc87348c4b21b0b9410699ea6')",biosphere,0.020899999886751175,0.0
Sulfur dioxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '78c3efe4-421c-4d30-82e4-b97ac5124993')","tillage, harrowing, by spring tine harrow","tillage, harrowing, by spring tine harrow",RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '491b724bc87348c4b21b0b9410699ea6')",biosphere,0.004470000043511391,0.0
"market group for electricity, low voltage","electricity, low voltage",USA,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'b23fa6ba5c9b4e5c9c681b39b166647d')","tillage, ridge cultivator","tillage, ridge cultivator",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'f18b3f432c03410889f1b4f7706acb5f')",technosphere,0.0,12.189765456455204
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')","tillage, ridge cultivator","tillage, ridge cultivator",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'f18b3f432c03410889f1b4f7706acb5f')",biosphere,4.9800644774222746e-05,0.0
Benzene,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '5e883a00-04e6-4d96-8dce-12d7117c6635')","tillage, ridge cultivator","tillage, ridge cultivator",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'f18b3f432c03410889f1b4f7706acb5f')",biosphere,1.8189595721196383e-05,0.0
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')","tillage, ridge cultivator","tillage, ridge cultivator",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'f18b3f432c03410889f1b4f7706acb5f')",biosphere,7.342813386917114,0.0
"Carbon monoxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '099b36ab-4c03-4587-87f4-2f81e337afb8')","tillage, ridge cultivator","tillage, ridge cultivator",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'f18b3f432c03410889f1b4f7706acb5f')",biosphere,0.0333770252764225,0.0
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')","tillage, ridge cultivator","tillage, ridge cultivator",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'f18b3f432c03410889f1b4f7706acb5f')",biosphere,0.0002984506718348712,0.0
"Methane, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')","tillage, ridge cultivator","tillage, ridge cultivator",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'f18b3f432c03410889f1b4f7706acb5f')",biosphere,0.00032140841358341277,0.0
"NMVOC, non-methane volatile organic compounds",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '33b38ccb-593b-4b11-b965-10d747ba3556')","tillage, ridge cultivator","tillage, ridge cultivator",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'f18b3f432c03410889f1b4f7706acb5f')",biosphere,0.006269230041652918,0.0
Nitrogen oxides,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')","tillage, ridge cultivator","tillage, ridge cultivator",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'f18b3f432c03410889f1b4f7706acb5f')",biosphere,0.10260345041751862,0.0
