from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,electric_tractor
"market group for electricity, low voltage","electricity, low voltage",World,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'a3efa012dcf749c286adb7f54b16db8d')","fertilising, by rig fertiliser, sugarcane","fertilising, by rig fertiliser, sugarcane",RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '457c22e342b749128ea39f43b57c39df')",technosphere,0.0,53.564592446267504
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')","fertilising, by rig fertiliser, sugarcane","fertilising, by rig fertiliser, sugarcane",RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '457c22e342b749128ea39f43b57c39df')",biosphere,0.00021899999410379678,0.0
Benzene,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '5e883a00-04e6-4d96-8dce-12d7117c6635')","fertilising, by rig fertiliser, sugarcane","fertilising, by rig fertiliser, sugarcane",RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '457c22e342b749128ea39f43b57c39df')",biosphere,7.989999721758068e-05,0.0
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')","fertilising, by rig fertiliser, sugarcane","fertilising, by rig fertiliser, sugarcane",RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '457c22e342b749128ea39f43b57c39df')",biosphere,27.896017220040786,0.0
"Carbon monoxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '099b36ab-4c03-4587-87f4-2f81e337afb8')","fertilising, by rig fertiliser, sugarcane","fertilising, by rig fertiliser, sugarcane",RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '457c22e342b749128ea39f43b57c39df')",biosphere,0.05909999832510948,0.0
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')","fertilising, by rig fertiliser, sugarcane","fertilising, by rig fertiliser, sugarcane",RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '457c22e342b749128ea39f43b57c39df')",biosphere,0.0013099999632686377,0.0
"Methane, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')","fertilising, by rig fertiliser, sugarcane","fertilising, by rig fertiliser, sugarcane",RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '457c22e342b749128ea39f43b57c39df')",biosphere,0.0014100000262260437,0.0
"NMVOC, non-methane volatile organic compounds",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '33b38ccb-593b-4b11-b965-10d747ba3556')","fertilising, by rig fertiliser, sugarcane","fertilising, by rig fertiliser, sugarcane",RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '457c22e342b749128ea39f43b57c39df')",biosphere,0.03280000016093254,0.0
Nitrogen oxides,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')","fertilising, by rig fertiliser, sugarcane","fertilising, by rig fertiliser, sugarcane",RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '457c22e342b749128ea39f43b57c39df')",biosphere,0.4650000035762787,0.0
"PAH, polycyclic aromatic hydrocarbons",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '13d898ac-b9be-4723-a153-565e2a9144ac')","fertilising, by rig fertiliser, sugarcane","fertilising, by rig fertiliser, sugarcane",RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '457c22e342b749128ea39f43b57c39df')",biosphere,3.600000127335079e-05,0.0
