from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,nop_supplementation,increase_feed_level,nitrate_supplementation
market for alfalfa-grass silage,alfalfa-grass silage,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '2405cfe550214b5da80e10b52e36b8fd')","milk production, from cow",cow milk,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '8e01a106a4924c759f988cd7afa99b6c')",technosphere,0.20575237274169922,0.20575237274169922,0.27885788189221733,0.19774435582688535
"market for barley grain, feed","barley grain, feed",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'cad734368d7f49d8a1f69119c6be680a')","milk production, from cow",cow milk,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '8e01a106a4924c759f988cd7afa99b6c')",technosphere,0.028371073305606842,0.028371073305606842,0.03845154883799284,0.027266852577090894
"market for diesel, burned in agricultural machinery","diesel, burned in agricultural machinery",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '48d50877ac70466a93e6a2c723df8dd1')","milk production, from cow",cow milk,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '8e01a106a4924c759f988cd7afa99b6c')",technosphere,0.19186021387577057,0.19186021387577057,0.16426388174295425,0.19245683004892222
"market for energy feed, gross","energy feed, gross",RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '32ff7e79e3a047a88849052ea7fb52c2')","milk production, from cow",cow milk,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '8e01a106a4924c759f988cd7afa99b6c')",technosphere,0.09615901112556458,0.09615901112556458,0.08232792048421625,0.09645803102173195
market for hay,hay,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '136575fc74a74c3cb4726375bd4c8cae')","milk production, from cow",cow milk,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '8e01a106a4924c759f988cd7afa99b6c')",technosphere,0.05701185390353203,0.05701185390353203,0.07726863418603698,0.05479291526228713
"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",AU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'aae81773327b4e42b81c0ff063b46dee')","milk production, from cow",cow milk,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '8e01a106a4924c759f988cd7afa99b6c')",technosphere,2.784099524433259e-05,2.784099524433259e-05,2.383646853110667e-05,2.7927570713544578e-05
"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",MY,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '0babc7bb77ad404a8c9220c583eb1593')","milk production, from cow",cow milk,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '8e01a106a4924c759f988cd7afa99b6c')",technosphere,8.751110726734623e-06,8.751110726734623e-06,7.492389320834438e-06,8.77832352967662e-06
"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",CN,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'b992d8e2fd574648be12153ac9dff695')","milk production, from cow",cow milk,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '8e01a106a4924c759f988cd7afa99b6c')",technosphere,0.0004908950068056583,0.0004908950068056583,0.00042028682089525544,0.0004924215134975005
"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e1ac788c6aaa46ff8496d60a6e78c631')","milk production, from cow",cow milk,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '8e01a106a4924c759f988cd7afa99b6c')",technosphere,3.999509499408305e-05,3.999509499408305e-05,3.42423758510985e-05,4.0119465336626586e-05
"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",BR,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'f2af4717676b43f8a00b43738ccbd5fb')","milk production, from cow",cow milk,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '8e01a106a4924c759f988cd7afa99b6c')",technosphere,8.74112593010068e-05,8.74112593010068e-05,7.48384069357935e-05,8.768307683920834e-05
