from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,improve_fertilizer_placement,improve_fertilizer_rate
"market for poultry manure, fresh","poultry manure, fresh",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'afe63a567846492b8996a8f0b5d39d40')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",technosphere,0.0013406124198809266,0.0011811563170757062,0.0006703062099404633
"market for solid manure loading and spreading, by hydraulic loader and spreader","solid manure loading and spreading, by hydraulic loader and spreader",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '6d5f97bb5e314685a8fb102c1cde8861')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",technosphere,0.09408500045537949,0.0828942735289687,0.04704250022768974
"market for tillage, cultivating, chiselling","tillage, cultivating, chiselling",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '4516cea39cc1458fb7a08b61e09b0cfd')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",technosphere,3.0555998819181696e-05,2.692158486271515e-05,3.429405030211189e-05
"market for tillage, ploughing","tillage, ploughing",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '3dac17f53d2849a38c3ec9eede2df0c4')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",technosphere,3.0555998819181696e-05,2.692158486271515e-05,3.429405030211189e-05
"market for transport, freight, tractor and trailer, diesel, agricultural","transport, freight, tractor and trailer, diesel, agricultural",RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'a1954a8f2e8d4199bad31eafee4f49c5')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",technosphere,0.0020000000949949026,0.0017621146211408833,0.00224466901795163
market for triazine-compound,triazine-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '8752f13c8f36447c9658ebfdf89205da')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",technosphere,6.389214490809536e-07,5.629263868554657e-07,7.17083556768747e-07
market for urea,urea,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '86ff8f3e9bce4b16adeef26912e424a9')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",technosphere,8.863036782713607e-05,7.808842980364412e-05,4.4315183913568035e-05
market for urea,urea,RER,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '078f86358a32403aa1165bca81307fad')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",technosphere,1.3895752090320457e-05,1.2242953383542252e-05,6.947876045160228e-06
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,0.0005023999838158488,0.0004426431575470034,0.0005638608123634667
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,0.00011262499901931733,9.922907402583025e-05,0.00012640291696893079
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,8.641119347885251e-05,6.379963007513516e-05,5.8965213956388693e-05
Nitrogen oxides,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,9.354999929200858e-05,8.242290686520579e-05,0.00010499438753311849
Water,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '09872080-d143-4fb1-a3a5-647b077107ff')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,0.05699000135064125,0.050211454934485686,0.0639618421443785
Cadmium II,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'e429b852-e421-4fcb-8a9b-b0241863bfb2')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,2.5139499371107377e-08,2.2149338652958042e-08,2.8214926342432522e-08
Chlorothalonil,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '06b8a67f-5044-4060-be71-04e1dfc31e24')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,1.3971082807984203e-05,1.2309324059897975e-05,1.5680227618388556e-05
Chromium III,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'e7881581-21b3-4f5c-bd63-6b0684b5e712')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,-4.635699895061407e-07,-4.08431708815983e-07,-5.202805718362971e-07
Copper ion,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '7e66a41c-d311-4949-bdd8-eef09cdcfa47')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,-4.0699998749005317e-07,-3.585902973480645e-07,-4.5679010941644573e-07
Diquat,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '063a0cee-aa71-4ea6-85ca-045c74ca1a66')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,6.815162123530172e-06,6.004548126458301e-06,7.648891272199968e-06
Fenpiclonil,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'd317b7de-adc0-478c-8c7f-9d6d0f476e97')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,5.36694017228001e-07,4.7285816495859123e-07,6.023501876857475e-07
Lead II,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '4010918f-7fd0-4925-8fbb-8fd7a44a806c')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,9.465000339048402e-09,8.339207347179208e-09,1.0622896003421327e-08
Mancozeb,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '4f6390e3-bca5-4d3b-aead-7d63f2534440')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,1.814536881283857e-05,1.5987109086201384e-05,2.036517262944845e-05
Mercury II,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'ed2d49f8-110d-4db4-9488-f61c349e6117')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,-4.342000092805165e-09,-3.825550742559617e-09,-4.873176310667974e-09
Metribuzin,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '171aebab-b5e0-493f-8776-43e1a694666f')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,6.389214490809536e-07,5.629263868554657e-07,7.17083556768747e-07
Nickel II,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'b4580545-243d-48d2-a3a0-2633a4f46fb1')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,1.3922000619004393e-07,1.2266079840532506e-07,1.5625140986536916e-07
Orbencarb,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '365010c0-d4dd-4281-a1a7-7e2302c4105f')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,3.4501758818805683e-06,3.0398025391018224e-06,3.8722512703485615e-06
Teflubenzuron,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'ad419049-3445-481f-97a3-3d4529ee924f')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,4.2594763272063574e-08,3.752842579036438e-08,4.78055704512498e-08
Zinc II,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', '84aa799e-9d98-4d34-85e0-516d28ab1be9')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,2.527000106056221e-06,2.226431811503278e-06,2.8361392885030538e-06
Cadmium II,,,"('water', 'ground-')",biosphere3,"('biosphere3', '3937f5a5-b4a4-434d-9fc3-1d29064fc3f8')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,1.1070500072207778e-09,9.75374455701126e-10,1.2424803672511535e-09
Cadmium II,,,"('water', 'surface water')",biosphere3,"('biosphere3', 'af83b42f-a4e6-4457-be74-46a87798f82a')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,1.155149975673453e-09,1.0177532825316765e-09,1.2964646191621243e-09
Chromium III,,,"('water', 'ground-')",biosphere3,"('biosphere3', '1c87de06-e58f-4684-a54c-d29f1a251a87')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,6.701000074826879e-07,5.903964823636017e-07,7.520763271410639e-07
Chromium III,,,"('water', 'surface water')",biosphere3,"('biosphere3', 'e34d3da4-a3d5-41be-84b5-458afe32c990')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,1.841700054683315e-07,1.6226432199852995e-07,2.0670034283763357e-07
Copper ion,,,"('water', 'ground-')",biosphere3,"('biosphere3', 'c3b659e5-35f1-408c-8cb5-b5f9b295c76e')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,1.4811999449193536e-07,1.3050219779025142e-07,1.6624017339162217e-07
Copper ion,,,"('water', 'surface water')",biosphere3,"('biosphere3', '6d9550e2-e670-44c1-bad8-c0c4975ffca7')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,1.7096000703986647e-07,1.5062555686331847e-07,1.918743064420499e-07
Lead II,,,"('water', 'ground-')",biosphere3,"('biosphere3', 'c864aa15-0abc-41ad-9889-348106e485d8')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,3.3798499554649197e-09,2.9778413704536736e-09,3.793322060005522e-09
Lead II,,,"('water', 'surface water')",biosphere3,"('biosphere3', 'b3ebdcc3-c588-4997-95d2-9785b26b34e1')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,2.3284000505441327e-08,2.0514537890256675e-08,2.6132436033043015e-08
Mercury II,,,"('water', 'ground-')",biosphere3,"('biosphere3', 'e1aa92d7-9297-452e-ade0-e5e2acc52ad7')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,3.0789499838590473e-09,2.712731263311936e-09,3.4556116541627913e-09
Mercury II,,,"('water', 'surface water')",biosphere3,"('biosphere3', '66bfb434-78ab-4183-b1a7-7f87d08974fa')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,5.01799990448859e-10,4.4211452902983176e-10,5.631874191345219e-10
Nickel II,,,"('water', 'ground-')",biosphere3,"('biosphere3', '56815b4f-6138-4e0b-9fac-c94fd6b102b3')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,2.371050022986765e-09,2.0890308572570615e-09,2.661111136909949e-09
Nickel II,,,"('water', 'surface water')",biosphere3,"('biosphere3', '9798359e-a3ee-4362-a038-23a188582c6e')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,1.1691499679500339e-07,1.0300880774890166e-07,1.312177292873214e-07
Nitrate,,,"('water', 'ground-')",biosphere3,"('biosphere3', 'b9291c72-4b1d-4275-8068-4c707dc3ce33')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,0.014742942526936531,0.012989376675715005,0.01654651237591081
Phosphate,,,"('water', 'ground-')",biosphere3,"('biosphere3', '329fc7d8-4011-4327-84e4-34ff76f0e42d')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,9.462500202062074e-06,8.337004583314603e-06,1.0620090013537682e-05
Phosphate,,,"('water', 'surface water')",biosphere3,"('biosphere3', '1727b41d-377e-43cd-bc01-9eaba946eccb')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,2.4561499230912887e-05,2.164008742811708e-05,2.7566216869711432e-05
Phosphorus,,,"('water', 'surface water')",biosphere3,"('biosphere3', 'b2631209-8374-431e-b7d5-56c96c6b6d79')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,6.556999778695172e-06,5.7770923160309885e-06,7.359146777435658e-06
Water,,,"('water', 'ground-')",biosphere3,"('biosphere3', '51254820-3456-4373-b7b4-056cf7b16e01')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,0.012589000165462494,0.01109163010172907,0.014129068648106053
Water,,,"('water', 'surface water')",biosphere3,"('biosphere3', 'db4566b1-bd88-427d-92da-2d25879063b9')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,0.05035499855875969,0.04436563749670457,0.05651514989759786
Zinc II,,,"('water', 'ground-')",biosphere3,"('biosphere3', '7e769b3e-03fb-4b53-be15-85a910dcfea9')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,8.325499720740481e-07,7.33524204470527e-07,9.343995197239598e-07
Zinc II,,,"('water', 'surface water')",biosphere3,"('biosphere3', '541b633c-17a3-4047-bce6-0c0e4fdb7c10')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,3.1611500617145794e-07,2.7851542393961053e-07,3.54786763379863e-07
"Carbon dioxide, in air",,,"('natural resource', 'in air')",biosphere3,"('biosphere3', 'cc6a1abb-b123-4ca6-8f16-38209df609be')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,0.3020281195640564,0.2661040701004902,0.33897656516729113
"Energy, gross calorific value, in biomass",,,"('natural resource', 'biotic')",biosphere3,"('biosphere3', '01c12fca-ad8b-4902-8b48-2d5afe3d3a0f')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,3.385499954223633,2.9828193429283107,3.7996632482869055
"Occupation, annual crop",,,"('natural resource', 'land')",biosphere3,"('biosphere3', 'c5aafa60-495c-461c-a1d4-b262a34c45b9')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,0.43972501158714294,0.3874229176979233,0.49351853152316827
"Transformation, from arable land, unspecified use",,,"('natural resource', 'land')",biosphere3,"('biosphere3', '4d166779-88fd-441b-9537-f3b974e3bff7')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,0.5,0.44052863436123346,0.5611672278338945
"Transformation, to arable land, unspecified use",,,"('natural resource', 'land')",biosphere3,"('biosphere3', '2f1e926a-ec96-432b-b2a6-bd5e3de2ff87')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",biosphere,0.5,0.44052863436123346,0.5611672278338945
"market for phosphate rock, beneficiated","phosphate rock, beneficiated",World,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '3ffb1b40890d449f978b6d8b206218b9')",potato production,potato,RU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'd0232bcd4826464d9eb4d7333d11e593')",technosphere,6.620937362811219e-06,5.833424989260986e-06,7.430906131101256e-06
market for [sulfonyl]urea-compound,[sulfonyl]urea-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '4bda68232fb14a3fad0bc3d65cad4dde')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,9.748599723025109e-07,8.5890746458371e-07,1.0941189363664543e-06
market for [thio]carbamate-compound,[thio]carbamate-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'c400394614524b8f98efbb7fe8ac4f15')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,0.0006704599945805967,0.0005907136516128605,0.0007524803530646428
"market for acetamide-anillide-compound, unspecified","acetamide-anillide-compound, unspecified",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '4dc05d3171f04c0fa89380a4f52e6f7f')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,5.0591997933224775e-06,4.457444751825972e-06,5.678114246153173e-06
"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",RAF,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '895934ffa181452cbf3736c9b214fc3b')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,0.0005548042245209217,0.0004888142947320896,0.00027740211226046085
"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",RLA,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '7f5318671f9241899a47970a7c46ab93')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,0.0008631324162706733,0.0007604690892252628,0.00043156620813533664
"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",UN-OCEANIA,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'af79f1ee9f3e4cf1bff8d66920245a17')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,0.00017561214917805046,0.00015472436050929556,8.780607458902523e-05
"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",UN-SEASIA,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '3f8cf74a039a4fdfb2e38579f24ab57d')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,0.0007850512047298253,0.0006916750702465421,0.00039252560236491263
market for ammonium nitrate,ammonium nitrate,RNA,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e262e937a1a8416c809e9f0d2c4844ed')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,0.001329382648691535,0.0011712622455432027,0.0006646913243457675
market for ammonium nitrate,ammonium nitrate,RER,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'c71838554cb84a0cabce011bc514765e')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,0.0019168166909366846,0.0016888252783583124,0.0009584083454683423
"market for application of plant protection product, by field sprayer","application of plant protection product, by field sprayer",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '5e707625456c48df831a7c37da3d8fcb')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,9.755900100572035e-05,8.595506696539238e-05,0.00010949382828924842
market for bipyridylium-compound,bipyridylium-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '0d00687729804640a8f3bed9e87f34ee')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,3.342300033182255e-06,2.9447577384865683e-06,3.751178488420039e-06
market for dinitroaniline-compound,dinitroaniline-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '0db560ffd6dc455896574a448b024ede')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,4.624000212061219e-06,4.074008997410766e-06,5.189674761011469e-06
market for dithiocarbamate-compound,dithiocarbamate-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '12346b9ad2724906b332d6a227d9afdc')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,6.179874617373571e-05,5.444823451430459e-05,6.935886214785152e-05
"market for fertilising, by broadcaster","fertilising, by broadcaster",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '1d2af68ae9074825b4589cc8721ebc17')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,4.8779998905956745e-05,4.2977972604367174e-05,5.474747351959231e-05
market for glyphosate,glyphosate,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '5d81a8695cbd4ea7ba521f740dec35ad')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,2.4370999085476797e-07,2.1472245890287926e-07,2.735241199267878e-07
"market for harvesting, by complete harvester, ground crops","harvesting, by complete harvester, ground crops",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '77dd00ffa0b040b884d5ef947ef1f56f')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,2.3881000743131153e-05,2.104052928910234e-05,2.6802469969844168e-05
"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",AU,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'aae81773327b4e42b81c0ff063b46dee')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,1.6728990885894746e-05,1.4739199018409467e-05,8.364495442947373e-06
"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",MK,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '54bb80d8e5ce40fd9a30635c0134b401')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e8498dd3d90e4fce98275816efab0924')",technosphere,1.883976352701211e-07,1.659891059648644e-07,9.419881763506055e-08
